module,num-direct-deps,num-transitive-deps,num-direct-dependents,num-transitive-dependents,max-dependency-depth,avg-dependency-path-length,num-circular-dependencies,leaf?,root?,num-namespaces,num-externally-used-namespaces,num-declared-api-namespaces,num-derived-api-namespaces,num-unexpected-api-namespaces,num-undeclared-api-namespaces,num-declared-friends,num-direct-uses,num-source-files,num-downstream-modules-affected,num-downstream-source-files-affected,num-affected-source-files,num-test-files-affected,percent-of-repo-source-files-affected,percent-of-repo-test-files-affected
segments.schema,2,116,2,10,16,10.181,0,false,false,1,1,1,1,1,0,0,2,1,10,65,66,50,0.0406,0.0418
xrays,19,117,5,9,17,8.0427,0,false,false,24,3,3,3,0,0,0,19,24,9,41,65,50,0.04,0.0418
lib-metric,5,116,1,6,15,9.2845,0,false,false,22,2,2,2,1,0,0,5,22,6,36,58,49,0.0356,0.0409
enterprise/remote-sync,14,117,3,6,15,6.4188,0,false,false,16,3,3,3,0,0,0,14,16,6,33,49,45,0.0301,0.0376
enterprise/semantic-search,15,116,3,7,12,6.6379,0,false,false,27,3,3,3,0,0,0,15,27,7,34,61,44,0.0375,0.0368
enterprise/transforms-inspector,15,116,1,6,17,8.3103,0,false,false,11,1,1,1,0,0,0,15,11,6,33,44,37,0.027,0.0309
enterprise/workspaces,23,117,2,6,15,7.0,0,false,false,29,2,2,2,0,0,0,23,29,6,33,62,36,0.0381,0.0301
source-swap,4,116,1,6,16,8.5345,0,false,false,6,3,3,3,2,0,0,4,6,6,44,50,34,0.0307,0.0284
enterprise/ai.metabot,12,118,2,6,8,3.2373,0,false,false,15,3,3,3,3,0,0,12,15,6,33,48,33,0.0295,0.0276
enterprise/audit-app,22,116,2,6,13,7.0517,0,false,false,14,2,2,2,1,0,0,22,14,6,33,47,33,0.0289,0.0276
enterprise/advanced-config,11,116,4,7,13,6.6034,0,false,false,10,4,4,4,3,0,0,11,10,7,34,44,32,0.027,0.0267
metrics,15,117,2,5,12,5.3504,0,false,false,4,2,2,2,0,0,0,15,4,5,32,36,31,0.0221,0.0259
enterprise/data-studio,8,116,1,5,12,6.7414,0,false,false,3,1,1,1,0,0,0,8,3,5,31,34,31,0.0209,0.0259
enterprise/tenants,12,116,1,5,16,7.4828,0,false,false,5,1,1,1,0,0,0,12,5,5,31,36,31,0.0221,0.0259
enterprise/replacement,15,118,1,5,17,9.4661,0,false,false,13,1,1,1,0,0,0,15,13,5,31,44,30,0.027,0.0251
enterprise/harbormaster,4,116,4,10,16,9.9569,0,false,false,1,1,1,1,1,0,0,4,1,10,42,43,29,0.0264,0.0242
collections.rest,20,116,3,7,13,5.7845,0,false,false,3,2,2,2,2,0,0,20,3,7,36,39,29,0.024,0.0242
enterprise/action-v2,10,116,2,6,15,6.8966,0,false,false,9,2,2,2,0,0,0,10,9,6,33,42,29,0.0258,0.0242
enterprise/transforms,2,117,1,5,14,8.4872,0,false,false,2,1,1,1,0,0,0,2,2,5,31,33,29,0.0203,0.0242
dashboards.rest,29,119,2,6,9,3.0672,0,false,false,1,1,1,1,1,0,0,29,1,6,35,36,28,0.0221,0.0234
tiles,9,116,4,6,11,5.0431,0,false,false,3,2,2,2,0,0,0,9,3,6,35,38,28,0.0234,0.0234
enterprise/support-access-grants,9,116,2,6,9,4.7931,0,false,false,8,2,2,2,0,0,0,9,8,6,33,41,28,0.0252,0.0234
content-translation,2,116,1,6,14,8.5431,0,false,false,1,0,0,0,0,0,0,2,1,6,33,34,27,0.0209,0.0226
public-sharing.rest,19,121,2,5,17,6.7438,0,false,false,1,1,1,1,1,0,0,19,1,5,34,35,27,0.0215,0.0226
enterprise/content-translation,7,117,1,5,16,7.3248,0,false,false,2,1,1,1,1,0,0,7,2,5,31,33,26,0.0203,0.0217
enterprise/database-routing,14,116,1,5,16,8.0948,0,false,false,4,1,1,1,0,0,0,14,4,5,31,35,26,0.0215,0.0217
comments,9,116,2,4,9,4.7672,0,false,false,6,2,2,2,0,0,0,9,6,4,30,36,26,0.0221,0.0217
indexed-entities,12,116,2,4,14,7.1897,0,false,false,4,2,2,2,0,0,0,12,4,4,30,34,26,0.0209,0.0217
permissions.rest,9,116,1,4,16,9.2155,0,false,false,4,1,1,1,1,0,0,9,4,4,30,34,26,0.0209,0.0217
product-feedback,9,116,2,4,11,5.0086,0,false,false,5,2,2,2,0,0,0,9,5,4,30,35,26,0.0215,0.0217
transforms.rest,7,116,1,4,16,9.9138,0,false,false,3,3,3,3,3,0,0,7,3,4,30,33,26,0.0203,0.0217
enterprise/gsheets,7,117,2,6,15,6.7863,0,false,false,4,2,2,2,0,0,0,7,4,6,33,37,25,0.0227,0.0209
enterprise/stale,10,116,2,6,10,4.6983,0,false,false,4,2,2,2,0,0,0,10,4,6,33,37,25,0.0227,0.0209
sample-data,4,116,2,5,17,9.2845,0,false,false,4,2,2,2,0,0,0,4,4,5,31,35,25,0.0215,0.0209
enterprise/content-verification,5,116,1,5,16,9.8707,0,false,false,2,1,1,1,1,0,0,5,2,5,31,33,25,0.0203,0.0209
enterprise/email,6,116,1,5,8,4.1379,0,false,false,1,1,1,1,0,0,0,6,1,5,31,32,25,0.0197,0.0209
enterprise/library,3,116,1,5,12,6.6724,0,false,false,3,1,1,1,0,0,0,3,3,5,31,34,25,0.0209,0.0209
enterprise/permission-debug,7,116,1,5,15,9.1983,0,false,false,2,1,1,1,0,0,0,7,2,5,31,33,25,0.0203,0.0209
bookmarks,6,116,1,4,16,9.9397,0,false,false,2,1,1,1,0,0,0,6,2,4,30,32,25,0.0197,0.0209
embedding.rest,19,122,1,4,17,8.3852,0,false,false,4,1,1,1,1,0,0,19,4,4,30,34,25,0.0209,0.0209
geojson,5,116,2,4,17,9.6897,0,false,false,3,2,2,2,0,0,0,5,3,4,30,33,25,0.0203,0.0209
glossary,5,116,1,4,16,10.2155,0,false,false,2,1,1,1,0,0,0,5,2,4,30,32,25,0.0197,0.0209
measures,11,118,1,4,15,8.8983,0,false,false,2,1,1,1,0,0,0,11,2,4,30,32,25,0.0197,0.0209
queries.rest,23,116,1,4,14,6.4138,0,false,false,3,1,1,1,1,0,0,23,3,4,30,33,25,0.0203,0.0209
